state,district,commodity,forecast_horizon_months,forecast_month,current_price,predicted_price,lower_bound,upper_bound,price_change_pct,market_signal,uncertainty_level,weather_risk_level,weather_disruption_score,weather_data_status,market_insight,uncertainty_insight,weather_insight,planning_context,farmer_insight,decision_warning,recommendation_status,market_data_status,forecast_data_status,explainability_status
Bihar,Gaya,Tomato,2,2026-10-01,1733.033870967742,1704.4887754329466,1616.228349247312,1816.6915973886328,-1.6471170017499714,STABLE,LOW,MODERATE,2,SYNTHETIC_DEMO_DATA,"Tomato is forecast to remain relatively stable, with an estimated change of -1.6%.","The estimated price range is ₹1,616 to ₹1,817. Uncertainty level: LOW.",Moderate weather-disruption signal is present. Weather conditions should be monitored.,The forecast indicates a relatively stable market signal. Use the uncertainty range for planning.,"Tomato is forecast to remain relatively stable, with an estimated change of -1.6%. The estimated price range is ₹1,616 to ₹1,817. Uncertainty level: LOW. Moderate weather-disruption signal is present. Weather conditions should be monitored.","This is decision-support information, not a guarantee of future price, yield, revenue, or profit.",INFORMATIONAL_DECISION_SUPPORT,SYNTHETIC_DEMO_DATA,MODEL_FORECAST_DEMO,RULE_BASED_EXPLANATION
Bihar,Gaya,Tomato,3,2026-11-01,1733.033870967742,1783.7973657816035,1726.1694888888892,1876.638403552228,2.929169225383622,RISING,LOW,MODERATE,2,SYNTHETIC_DEMO_DATA,Tomato is forecast to increase by 2.9% over the selected horizon.,"The estimated price range is ₹1,726 to ₹1,877. Uncertainty level: LOW.",Moderate weather-disruption signal is present. Weather conditions should be monitored.,"The forecast indicates an upward market signal, but the uncertainty range should still be considered.","Tomato is forecast to increase by 2.9% over the selected horizon. The estimated price range is ₹1,726 to ₹1,877. Uncertainty level: LOW. Moderate weather-disruption signal is present. Weather conditions should be monitored.","This is decision-support information, not a guarantee of future price, yield, revenue, or profit.",INFORMATIONAL_DECISION_SUPPORT,SYNTHETIC_DEMO_DATA,MODEL_FORECAST_DEMO,RULE_BASED_EXPLANATION
Bihar,Gaya,Wheat,1,2026-09-01,3259.0254838709675,3117.4337120959144,3082.6415155555555,3155.1265580645168,-4.3446046210990295,FALLING,LOW,MODERATE,2,SYNTHETIC_DEMO_DATA,Wheat is forecast to decrease by 4.3% over the selected horizon.,"The estimated price range is ₹3,083 to ₹3,155. Uncertainty level: LOW.",Moderate weather-disruption signal is present. Weather conditions should be monitored.,"The forecast indicates a downward market signal, so alternative market scenarios should be considered.","Wheat is forecast to decrease by 4.3% over the selected horizon. The estimated price range is ₹3,083 to ₹3,155. Uncertainty level: LOW. Moderate weather-disruption signal is present. Weather conditions should be monitored.","This is decision-support information, not a guarantee of future price, yield, revenue, or profit.",INFORMATIONAL_DECISION_SUPPORT,SYNTHETIC_DEMO_DATA,MODEL_FORECAST_DEMO,RULE_BASED_EXPLANATION
Bihar,Gaya,Wheat,2,2026-10-01,3259.0254838709675,3091.1562391906664,3027.1340617511523,3138.678846344086,-5.150903100055276,FALLING,LOW,MODERATE,2,SYNTHETIC_DEMO_DATA,Wheat is forecast to decrease by 5.2% over the selected horizon.,"The estimated price range is ₹3,027 to ₹3,139. Uncertainty level: LOW.",Moderate weather-disruption signal is present. Weather conditions should be monitored.,"The forecast indicates a downward market signal, so alternative market scenarios should be considered.","Wheat is forecast to decrease by 5.2% over the selected horizon. The estimated price range is ₹3,027 to ₹3,139. Uncertainty level: LOW. Moderate weather-disruption signal is present. Weather conditions should be monitored.","This is decision-support information, not a guarantee of future price, yield, revenue, or profit.",INFORMATIONAL_DECISION_SUPPORT,SYNTHETIC_DEMO_DATA,MODEL_FORECAST_DEMO,RULE_BASED_EXPLANATION
Bihar,Gaya,Wheat,3,2026-11-01,3259.0254838709675,3125.480998740218,3087.9097174731182,3176.259117741936,-4.097681524482263,FALLING,LOW,MODERATE,2,SYNTHETIC_DEMO_DATA,Wheat is forecast to decrease by 4.1% over the selected horizon.,"The estimated price range is ₹3,088 to ₹3,176. Uncertainty level: LOW.",Moderate weather-disruption signal is present. Weather conditions should be monitored.,"The forecast indicates a downward market signal, so alternative market scenarios should be considered.","Wheat is forecast to decrease by 4.1% over the selected horizon. The estimated price range is ₹3,088 to ₹3,176. Uncertainty level: LOW. Moderate weather-disruption signal is present. Weather conditions should be monitored.","This is decision-support information, not a guarantee of future price, yield, revenue, or profit.",INFORMATIONAL_DECISION_SUPPORT,SYNTHETIC_DEMO_DATA,MODEL_FORECAST_DEMO,RULE_BASED_EXPLANATION
Bihar,Muzaffarpur,Onion,1,2026-09-01,3100.4812903225807,3250.145506352506,3213.892821505376,3280.548618375576,4.827128500890061,RISING,LOW,LOW,0,SYNTHETIC_DEMO_DATA,Onion is forecast to increase by 4.8% over the selected horizon.,"The estimated price range is ₹3,214 to ₹3,281. Uncertainty level: LOW.",Low weather-disruption signal is present in the available weather data.,"The forecast indicates an upward market signal, but the uncertainty range should still be considered.","Onion is forecast to increase by 4.8% over the selected horizon. The estimated price range is ₹3,214 to ₹3,281. Uncertainty level: LOW. Low weather-disruption signal is present in the available weather data.","This is decision-support information, not a guarantee of future price, yield, revenue, or profit.",INFORMATIONAL_DECISION_SUPPORT,SYNTHETIC_DEMO_DATA,MODEL_FORECAST_DEMO,RULE_BASED_EXPLANATION
Bihar,Muzaffarpur,Onion,2,2026-10-01,3100.4812903225807,3394.0686826224205,3343.519650298685,3474.7950161761632,9.46909091876166,RISING,LOW,LOW,0,SYNTHETIC_DEMO_DATA,Onion is forecast to increase by 9.5% over the selected horizon.,"The estimated price range is ₹3,344 to ₹3,475. Uncertainty level: LOW.",Low weather-disruption signal is present in the available weather data.,"The forecast indicates an upward market signal, but the uncertainty range should still be considered.","Onion is forecast to increase by 9.5% over the selected horizon. The estimated price range is ₹3,344 to ₹3,475. Uncertainty level: LOW. Low weather-disruption signal is present in the available weather data.","This is decision-support information, not a guarantee of future price, yield, revenue, or profit.",INFORMATIONAL_DECISION_SUPPORT,SYNTHETIC_DEMO_DATA,MODEL_FORECAST_DEMO,RULE_BASED_EXPLANATION
Bihar,Muzaffarpur,Onion,3,2026-11-01,3100.4812903225807,3464.106771948422,3409.097394504182,3532.2390202764977,11.728033410838908,RISING,LOW,LOW,0,SYNTHETIC_DEMO_DATA,Onion is forecast to increase by 11.7% over the selected horizon.,"The estimated price range is ₹3,409 to ₹3,532. Uncertainty level: LOW.",Low weather-disruption signal is present in the available weather data.,"The forecast indicates an upward market signal, but the uncertainty range should still be considered.","Onion is forecast to increase by 11.7% over the selected horizon. The estimated price range is ₹3,409 to ₹3,532. Uncertainty level: LOW. Low weather-disruption signal is present in the available weather data.","This is decision-support information, not a guarantee of future price, yield, revenue, or profit.",INFORMATIONAL_DECISION_SUPPORT,SYNTHETIC_DEMO_DATA,MODEL_FORECAST_DEMO,RULE_BASED_EXPLANATION
Bihar,Muzaffarpur,Potato,1,2026-09-01,1529.677741935484,1590.6724303427122,1553.161577419355,1620.044251280082,3.9874207968831663,RISING,LOW,LOW,0,SYNTHETIC_DEMO_DATA,Potato is forecast to increase by 4.0% over the selected horizon.,"The estimated price range is ₹1,553 to ₹1,620. Uncertainty level: LOW.",Low weather-disruption signal is present in the available weather data.,"The forecast indicates an upward market signal, but the uncertainty range should still be considered.","Potato is forecast to increase by 4.0% over the selected horizon. The estimated price range is ₹1,553 to ₹1,620. Uncertainty level: LOW. Low weather-disruption signal is present in the available weather data.","This is decision-support information, not a guarantee of future price, yield, revenue, or profit.",INFORMATIONAL_DECISION_SUPPORT,SYNTHETIC_DEMO_DATA,MODEL_FORECAST_DEMO,RULE_BASED_EXPLANATION
Bihar,Muzaffarpur,Potato,2,2026-10-01,1529.677741935484,1672.528632828048,1617.3204716845878,1712.269568404378,9.338626494742385,RISING,LOW,LOW,0,SYNTHETIC_DEMO_DATA,Potato is forecast to increase by 9.3% over the selected horizon.,"The estimated price range is ₹1,617 to ₹1,712. Uncertainty level: LOW.",Low weather-disruption signal is present in the available weather data.,"The forecast indicates an upward market signal, but the uncertainty range should still be considered.","Potato is forecast to increase by 9.3% over the selected horizon. The estimated price range is ₹1,617 to ₹1,712. Uncertainty level: LOW. Low weather-disruption signal is present in the available weather data.","This is decision-support information, not a guarantee of future price, yield, revenue, or profit.",INFORMATIONAL_DECISION_SUPPORT,SYNTHETIC_DEMO_DATA,MODEL_FORECAST_DEMO,RULE_BASED_EXPLANATION
Bihar,Muzaffarpur,Potato,3,2026-11-01,1529.677741935484,1774.8975246024988,1720.8012234677417,1811.5799037634408,16.030813284681848,RISING,LOW,LOW,0,SYNTHETIC_DEMO_DATA,Potato is forecast to increase by 16.0% over the selected horizon.,"The estimated price range is ₹1,721 to ₹1,812. Uncertainty level: LOW.",Low weather-disruption signal is present in the available weather data.,"The forecast indicates an upward market signal, but the uncertainty range should still be considered.","Potato is forecast to increase by 16.0% over the selected horizon. The estimated price range is ₹1,721 to ₹1,812. Uncertainty level: LOW. Low weather-disruption signal is present in the available weather data.","This is decision-support information, not a guarantee of future price, yield, revenue, or profit.",INFORMATIONAL_DECISION_SUPPORT,SYNTHETIC_DEMO_DATA,MODEL_FORECAST_DEMO,RULE_BASED_EXPLANATION
Bihar,Muzaffarpur,Rice,1,2026-09-01,2972.7683870967744,3045.36526579088,2979.6121841397853,3102.203600384025,2.4420630617982426,RISING,LOW,LOW,0,SYNTHETIC_DEMO_DATA,Rice is forecast to increase by 2.4% over the selected horizon.,"The estimated price range is ₹2,980 to ₹3,102. Uncertainty level: LOW.",Low weather-disruption signal is present in the available weather data.,"The forecast indicates an upward market signal, but the uncertainty range should still be considered.","Rice is forecast to increase by 2.4% over the selected horizon. The estimated price range is ₹2,980 to ₹3,102. Uncertainty level: LOW. Low weather-disruption signal is present in the available weather data.","This is decision-support information, not a guarantee of future price, yield, revenue, or profit.",INFORMATIONAL_DECISION_SUPPORT,SYNTHETIC_DEMO_DATA,MODEL_FORECAST_DEMO,RULE_BASED_EXPLANATION
Bihar,Muzaffarpur,Rice,2,2026-10-01,2972.7683870967744,3159.9564909088267,3020.4640261648747,3251.634123870968,6.296760441362924,RISING,LOW,LOW,0,SYNTHETIC_DEMO_DATA,Rice is forecast to increase by 6.3% over the selected horizon.,"The estimated price range is ₹3,020 to ₹3,252. Uncertainty level: LOW.",Low weather-disruption signal is present in the available weather data.,"The forecast indicates an upward market signal, but the uncertainty range should still be considered.","Rice is forecast to increase by 6.3% over the selected horizon. The estimated price range is ₹3,020 to ₹3,252. Uncertainty level: LOW. Low weather-disruption signal is present in the available weather data.","This is decision-support information, not a guarantee of future price, yield, revenue, or profit.",INFORMATIONAL_DECISION_SUPPORT,SYNTHETIC_DEMO_DATA,MODEL_FORECAST_DEMO,RULE_BASED_EXPLANATION
Bihar,Muzaffarpur,Rice,3,2026-11-01,2972.7683870967744,3427.927430038175,3347.679637480798,3507.0548984529296,15.310948707508015,RISING,LOW,LOW,0,SYNTHETIC_DEMO_DATA,Rice is forecast to increase by 15.3% over the selected horizon.,"The estimated price range is ₹3,348 to ₹3,507. Uncertainty level: LOW.",Low weather-disruption signal is present in the available weather data.,"The forecast indicates an upward market signal, but the uncertainty range should still be considered.","Rice is forecast to increase by 15.3% over the selected horizon. The estimated price range is ₹3,348 to ₹3,507. Uncertainty level: LOW. Low weather-disruption signal is present in the available weather data.","This is decision-support information, not a guarantee of future price, yield, revenue, or profit.",INFORMATIONAL_DECISION_SUPPORT,SYNTHETIC_DEMO_DATA,MODEL_FORECAST_DEMO,RULE_BASED_EXPLANATION
Bihar,Muzaffarpur,Tomato,1,2026-09-01,1680.8848387096775,1759.8192447384731,1725.5598555913978,1815.585930269965,4.6960032127715055,RISING,LOW,LOW,0,SYNTHETIC_DEMO_DATA,Tomato is forecast to increase by 4.7% over the selected horizon.,"The estimated price range is ₹1,726 to ₹1,816. Uncertainty level: LOW.",Low weather-disruption signal is present in the available weather data.,"The forecast indicates an upward market signal, but the uncertainty range should still be considered.","Tomato is forecast to increase by 4.7% over the selected horizon. The estimated price range is ₹1,726 to ₹1,816. Uncertainty level: LOW. Low weather-disruption signal is present in the available weather data.","This is decision-support information, not a guarantee of future price, yield, revenue, or profit.",INFORMATIONAL_DECISION_SUPPORT,SYNTHETIC_DEMO_DATA,MODEL_FORECAST_DEMO,RULE_BASED_EXPLANATION
Bihar,Muzaffarpur,Tomato,2,2026-10-01,1680.8848387096775,1829.756075883948,1745.2155230824376,1908.9053838709683,8.856718422694003,RISING,LOW,LOW,0,SYNTHETIC_DEMO_DATA,Tomato is forecast to increase by 8.9% over the selected horizon.,"The estimated price range is ₹1,745 to ₹1,909. Uncertainty level: LOW.",Low weather-disruption signal is present in the available weather data.,"The forecast indicates an upward market signal, but the uncertainty range should still be considered.","Tomato is forecast to increase by 8.9% over the selected horizon. The estimated price range is ₹1,745 to ₹1,909. Uncertainty level: LOW. Low weather-disruption signal is present in the available weather data.","This is decision-support information, not a guarantee of future price, yield, revenue, or profit.",INFORMATIONAL_DECISION_SUPPORT,SYNTHETIC_DEMO_DATA,MODEL_FORECAST_DEMO,RULE_BASED_EXPLANATION
Bihar,Muzaffarpur,Tomato,3,2026-11-01,1680.8848387096775,1950.6779538402343,1884.1936448924728,2006.9835529185868,16.050660278289026,RISING,LOW,LOW,0,SYNTHETIC_DEMO_DATA,Tomato is forecast to increase by 16.1% over the selected horizon.,"The estimated price range is ₹1,884 to ₹2,007. Uncertainty level: LOW.",Low weather-disruption signal is present in the available weather data.,"The forecast indicates an upward market signal, but the uncertainty range should still be considered.","Tomato is forecast to increase by 16.1% over the selected horizon. The estimated price range is ₹1,884 to ₹2,007. Uncertainty level: LOW. Low weather-disruption signal is present in the available weather data.","This is decision-support information, not a guarantee of future price, yield, revenue, or profit.",INFORMATIONAL_DECISION_SUPPORT,SYNTHETIC_DEMO_DATA,MODEL_FORECAST_DEMO,RULE_BASED_EXPLANATION
Bihar,Muzaffarpur,Wheat,1,2026-09-01,3507.947741935484,3314.9125611462496,3268.111841182796,3394.682431599737,-5.5027952235892945,FALLING,LOW,LOW,0,SYNTHETIC_DEMO_DATA,Wheat is forecast to decrease by 5.5% over the selected horizon.,"The estimated price range is ₹3,268 to ₹3,395. Uncertainty level: LOW.",Low weather-disruption signal is present in the available weather data.,"The forecast indicates a downward market signal, so alternative market scenarios should be considered.","Wheat is forecast to decrease by 5.5% over the selected horizon. The estimated price range is ₹3,268 to ₹3,395. Uncertainty level: LOW. Low weather-disruption signal is present in the available weather data.","This is decision-support information, not a guarantee of future price, yield, revenue, or profit.",INFORMATIONAL_DECISION_SUPPORT,SYNTHETIC_DEMO_DATA,MODEL_FORECAST_DEMO,RULE_BASED_EXPLANATION
Bihar,Muzaffarpur,Wheat,2,2026-10-01,3507.947741935484,3162.542631915447,3101.189892096774,3255.489101382489,-9.846358481653494,FALLING,LOW,LOW,0,SYNTHETIC_DEMO_DATA,Wheat is forecast to decrease by 9.8% over the selected horizon.,"The estimated price range is ₹3,101 to ₹3,255. Uncertainty level: LOW.",Low weather-disruption signal is present in the available weather data.,"The forecast indicates a downward market signal, so alternative market scenarios should be considered.","Wheat is forecast to decrease by 9.8% over the selected horizon. The estimated price range is ₹3,101 to ₹3,255. Uncertainty level: LOW. Low weather-disruption signal is present in the available weather data.","This is decision-support information, not a guarantee of future price, yield, revenue, or profit.",INFORMATIONAL_DECISION_SUPPORT,SYNTHETIC_DEMO_DATA,MODEL_FORECAST_DEMO,RULE_BASED_EXPLANATION
Bihar,Muzaffarpur,Wheat,3,2026-11-01,3507.947741935484,3104.9342201456257,3022.6394444444445,3188.2345508448543,-11.488583965264503,FALLING,LOW,LOW,0,SYNTHETIC_DEMO_DATA,Wheat is forecast to decrease by 11.5% over the selected horizon.,"The estimated price range is ₹3,023 to ₹3,188. Uncertainty level: LOW.",Low weather-disruption signal is present in the available weather data.,"The forecast indicates a downward market signal, so alternative market scenarios should be considered.","Wheat is forecast to decrease by 11.5% over the selected horizon. The estimated price range is ₹3,023 to ₹3,188. Uncertainty level: LOW. Low weather-disruption signal is present in the available weather data.","This is decision-support information, not a guarantee of future price, yield, revenue, or profit.",INFORMATIONAL_DECISION_SUPPORT,SYNTHETIC_DEMO_DATA,MODEL_FORECAST_DEMO,RULE_BASED_EXPLANATION
Bihar,Patna City,Onion,1,2026-09-01,3182.2125806451613,3276.6900665926187,3237.7660381720434,3314.0138669124426,2.968924405682005,RISING,LOW,LOW,0,SYNTHETIC_DEMO_DATA,Onion is forecast to increase by 3.0% over the selected horizon.,"The estimated price range is ₹3,238 to ₹3,314. Uncertainty level: LOW.",Low weather-disruption signal is present in the available weather data.,"The forecast indicates an upward market signal, but the uncertainty range should still be considered.","Onion is forecast to increase by 3.0% over the selected horizon. The estimated price range is ₹3,238 to ₹3,314. Uncertainty level: LOW. Low weather-disruption signal is present in the available weather data.","This is decision-support information, not a guarantee of future price, yield, revenue, or profit.",INFORMATIONAL_DECISION_SUPPORT,SYNTHETIC_DEMO_DATA,MODEL_FORECAST_DEMO,RULE_BASED_EXPLANATION
Bihar,Patna City,Onion,2,2026-10-01,3182.2125806451613,3365.8821489753727,3325.2308451612903,3393.5528119354835,5.77175671566776,RISING,LOW,LOW,0,SYNTHETIC_DEMO_DATA,Onion is forecast to increase by 5.8% over the selected horizon.,"The estimated price range is ₹3,325 to ₹3,394. Uncertainty level: LOW.",Low weather-disruption signal is present in the available weather data.,"The forecast indicates an upward market signal, but the uncertainty range should still be considered.","Onion is forecast to increase by 5.8% over the selected horizon. The estimated price range is ₹3,325 to ₹3,394. Uncertainty level: LOW. Low weather-disruption signal is present in the available weather data.","This is decision-support information, not a guarantee of future price, yield, revenue, or profit.",INFORMATIONAL_DECISION_SUPPORT,SYNTHETIC_DEMO_DATA,MODEL_FORECAST_DEMO,RULE_BASED_EXPLANATION
Bihar,Patna City,Onion,3,2026-11-01,3182.2125806451613,3387.177458346385,3339.3082289170507,3454.042032565284,6.440954917589728,RISING,LOW,LOW,0,SYNTHETIC_DEMO_DATA,Onion is forecast to increase by 6.4% over the selected horizon.,"The estimated price range is ₹3,339 to ₹3,454. Uncertainty level: LOW.",Low weather-disruption signal is present in the available weather data.,"The forecast indicates an upward market signal, but the uncertainty range should still be considered.","Onion is forecast to increase by 6.4% over the selected horizon. The estimated price range is ₹3,339 to ₹3,454. Uncertainty level: LOW. Low weather-disruption signal is present in the available weather data.","This is decision-support information, not a guarantee of future price, yield, revenue, or profit.",INFORMATIONAL_DECISION_SUPPORT,SYNTHETIC_DEMO_DATA,MODEL_FORECAST_DEMO,RULE_BASED_EXPLANATION
