state,district,market,commodity,month,avg_min_price,avg_max_price,avg_modal_price,min_modal_price,max_modal_price,median_modal_price,std_modal_price,observation_count
Bihar,Gaya,Gaya Market,Onion,2025-07-01,3120.7509677419353,3553.0677419354843,3345.392903225806,3099.67,3515.19,3364.87,95.77446810758268,31
Bihar,Gaya,Gaya Market,Onion,2025-08-01,3206.4280645161293,3663.35935483871,3441.6125806451614,3279.36,3575.47,3439.68,74.20421883638609,31
Bihar,Gaya,Gaya Market,Onion,2025-09-01,3220.483,3683.7816666666668,3434.21,3201.72,3624.88,3429.73,98.18202764113268,30
Bihar,Gaya,Gaya Market,Onion,2025-10-01,3216.341935483871,3656.9809677419357,3447.735483870968,3214.71,3611.38,3441.53,110.52747606632202,31
Bihar,Gaya,Gaya Market,Onion,2025-11-01,3154.4673333333335,3625.396,3373.8693333333335,3230.53,3517.33,3379.225,76.58226678381327,30
Bihar,Gaya,Gaya Market,Onion,2025-12-01,3028.3664516129033,3471.5532258064513,3248.556129032258,3037.85,3440.77,3254.78,91.68643104543571,31
Bihar,Gaya,Gaya Market,Onion,2026-01-01,2954.2674193548387,3359.9425806451613,3161.170967741936,3005.82,3278.98,3172.88,75.58972220061139,31
Bihar,Gaya,Gaya Market,Onion,2026-02-01,2850.2710714285713,3257.0814285714287,3068.8139285714283,2911.65,3226.72,3070.975,62.691727751268495,28
Bihar,Gaya,Gaya Market,Onion,2026-03-01,2858.5470967741935,3238.8987096774194,3042.29,2830.37,3291.52,3036.47,81.40005864043741,31
Bihar,Gaya,Gaya Market,Onion,2026-04-01,2865.3830000000003,3299.860333333333,3082.523,2891.45,3366.74,3073.17,96.9263527081792,30
Bihar,Gaya,Gaya Market,Onion,2026-05-01,2937.27935483871,3340.5841935483872,3144.526129032258,2934.52,3319.05,3135.85,95.3965589413451,31
Bihar,Gaya,Gaya Market,Onion,2026-06-01,3046.6216666666664,3479.349666666667,3269.71,3106.35,3372.7,3279.6850000000004,71.42784022088799,30
Bihar,Gaya,Gaya Market,Onion,2026-07-01,3131.0545161290324,3555.0722580645165,3332.4425806451613,3141.55,3444.37,3337.76,72.15924777729435,31
Bihar,Gaya,Gaya Market,Onion,2026-08-01,3224.358709677419,3672.902258064516,3446.4603225806454,3326.75,3609.58,3419.3,71.23138407021962,31
Bihar,Gaya,Gaya Market,Potato,2023-01-01,1572.3845161290321,1784.7132258064516,1684.241935483871,1624.02,1796.78,1680.63,39.93401636194009,31
Bihar,Gaya,Gaya Market,Potato,2023-02-01,1652.0689285714286,1876.1921428571427,1766.5839285714285,1617.04,1840.38,1765.105,48.0563293198556,28
Bihar,Gaya,Gaya Market,Potato,2023-03-01,1705.2396774193548,1922.7567741935484,1808.224193548387,1705.84,1904.02,1813.45,48.52856731000094,31
Bihar,Gaya,Gaya Market,Potato,2023-04-01,1686.266,1913.202,1805.1656666666668,1690.2,1915.46,1801.055,51.35418585385855,30
Bihar,Gaya,Gaya Market,Potato,2023-05-01,1641.4287096774194,1871.3158064516128,1750.6838709677418,1654.32,1838.77,1751.56,51.21749562258453,31
Bihar,Gaya,Gaya Market,Potato,2023-06-01,1538.7196666666666,1762.2293333333332,1650.6543333333332,1566.3,1740.69,1649.77,35.55633545403042,30
Bihar,Gaya,Gaya Market,Potato,2023-07-01,1447.2529032258067,1645.6783870967743,1541.7729032258064,1469.96,1608.7,1538.68,34.430599297093046,31
Bihar,Gaya,Gaya Market,Potato,2023-08-01,1351.5109677419357,1545.6367741935483,1452.7196774193549,1387.06,1530.84,1456.5,41.226018441745516,31
Bihar,Gaya,Gaya Market,Potato,2023-09-01,1321.4416666666666,1503.3636666666669,1413.3213333333333,1286.73,1479.9,1421.65,46.288598486939065,30
Bihar,Gaya,Gaya Market,Potato,2023-10-01,1318.1054838709676,1499.496129032258,1412.1754838709678,1353.6,1464.19,1408.09,27.239427898875967,31
Bihar,Gaya,Gaya Market,Potato,2023-11-01,1382.776,1568.0720000000001,1475.8716666666667,1385.67,1566.02,1480.405,48.48482344015479,30
Bihar,Gaya,Gaya Market,Potato,2023-12-01,1498.927741935484,1709.2035483870966,1595.6280645161291,1494.57,1704.72,1603.17,52.37746941954812,31
Bihar,Gaya,Gaya Market,Potato,2024-01-01,1581.008064516129,1805.312258064516,1693.84,1604.71,1836.46,1691.43,51.74464062425526,31
Bihar,Gaya,Gaya Market,Potato,2024-02-01,1668.8089655172414,1901.5231034482758,1781.992068965517,1685.62,1872.09,1788.74,44.424197024603494,29
Bihar,Gaya,Gaya Market,Potato,2024-03-01,1692.6180645161292,1941.3783870967743,1818.6748387096773,1742.09,1872.7,1821.02,31.672559718781585,31
Bihar,Gaya,Gaya Market,Potato,2024-04-01,1693.287,1932.5606666666667,1814.3143333333333,1709.48,1898.93,1815.5900000000001,42.731830636426444,30
Bihar,Gaya,Gaya Market,Potato,2024-05-01,1637.3448387096776,1870.7512903225806,1748.664516129032,1669.77,1848.92,1753.38,42.032916136341726,31
Bihar,Gaya,Gaya Market,Potato,2024-06-01,1566.62,1769.005,1662.1086666666667,1561.62,1764.14,1654.615,48.69877742098719,30
Bihar,Gaya,Gaya Market,Potato,2024-07-01,1451.5458064516129,1652.9745161290323,1550.7616129032258,1452.13,1650.0,1548.67,37.95220916686097,31
Bihar,Gaya,Gaya Market,Potato,2024-08-01,1372.52,1555.5364516129032,1459.3225806451612,1388.13,1552.29,1467.52,45.79479431607504,31
Bihar,Gaya,Gaya Market,Potato,2024-09-01,1324.8836666666668,1510.7836666666667,1420.1316666666667,1315.07,1498.05,1417.615,48.99834586112506,30
Bihar,Gaya,Gaya Market,Potato,2024-10-01,1339.4274193548388,1530.6187096774195,1434.7503225806452,1358.14,1515.27,1439.09,36.66764500063339,31
Bihar,Gaya,Gaya Market,Potato,2024-11-01,1397.5053333333335,1590.7333333333333,1494.6423333333332,1388.28,1594.61,1493.475,47.62399820166966,30
Bihar,Gaya,Gaya Market,Potato,2024-12-01,1501.1048387096773,1706.1612903225807,1600.273870967742,1540.68,1673.2,1599.79,34.52572120196951,31
Bihar,Gaya,Gaya Market,Potato,2025-01-01,1596.448064516129,1823.6929032258063,1703.5658064516128,1594.33,1799.74,1701.61,57.04141353871439,31
Bihar,Gaya,Gaya Market,Potato,2025-02-01,1691.0475000000001,1908.3232142857144,1797.6932142857145,1715.66,1921.63,1797.885,45.83430641824171,28
Bihar,Gaya,Gaya Market,Potato,2025-03-01,1698.9487096774192,1948.117741935484,1828.7887096774193,1748.54,1903.65,1826.68,40.96891892983715,31
Bihar,Gaya,Gaya Market,Potato,2025-04-01,1708.3536666666666,1950.669666666667,1831.6033333333332,1771.76,1936.95,1825.46,35.65016064512177,30
Bihar,Gaya,Gaya Market,Potato,2025-05-01,1649.145806451613,1870.7232258064516,1752.971935483871,1641.76,1834.81,1756.31,40.38951212211368,31
Bihar,Gaya,Gaya Market,Potato,2025-06-01,1564.165,1775.5076666666669,1668.3193333333334,1553.93,1773.02,1665.31,47.18090356923235,30
Bihar,Gaya,Gaya Market,Potato,2025-07-01,1457.6770967741934,1655.0006451612903,1559.7967741935483,1448.65,1685.76,1563.96,49.83991495358564,31
Bihar,Gaya,Gaya Market,Potato,2025-08-01,1384.4251612903226,1588.7712903225809,1482.3690322580646,1425.98,1550.1,1475.11,33.47011725453403,31
Bihar,Gaya,Gaya Market,Potato,2025-09-01,1337.033,1520.2046666666668,1425.4893333333334,1357.42,1507.46,1422.01,32.85040186951303,30
Bihar,Gaya,Gaya Market,Potato,2025-10-01,1352.34,1540.196129032258,1449.034193548387,1361.97,1538.82,1449.34,38.96202029106408,31
Bihar,Gaya,Gaya Market,Potato,2025-11-01,1407.8203333333333,1596.1566666666665,1500.5866666666666,1442.29,1577.12,1504.165,33.70230231911753,30
Bihar,Gaya,Gaya Market,Potato,2025-12-01,1498.5170967741935,1707.5190322580645,1606.2367741935482,1471.66,1680.14,1621.47,56.7789910904316,31
Bihar,Gaya,Gaya Market,Potato,2026-01-01,1610.6387096774195,1825.6790322580646,1715.4722580645162,1638.97,1798.73,1715.65,42.78884720030664,31
Bihar,Gaya,Gaya Market,Potato,2026-02-01,1674.517142857143,1909.7782142857143,1796.4978571428571,1729.25,1867.66,1790.0,34.20713672094616,28
Bihar,Gaya,Gaya Market,Potato,2026-03-01,1734.831935483871,1967.8987096774194,1857.096129032258,1740.33,1916.62,1870.74,43.65385868224547,31
Bihar,Gaya,Gaya Market,Potato,2026-04-01,1716.2886666666668,1948.764,1837.849,1759.73,1912.94,1842.7350000000001,38.991620085558814,30
Bihar,Gaya,Gaya Market,Potato,2026-05-01,1663.2129032258065,1888.7693548387097,1775.2187096774194,1692.78,1874.2,1769.57,39.48854270476739,31
Bihar,Gaya,Gaya Market,Potato,2026-06-01,1561.089,1783.7279999999998,1677.5506666666665,1593.1,1785.17,1678.165,43.684260475980714,30
Bihar,Gaya,Gaya Market,Potato,2026-07-01,1473.7490322580645,1670.8958064516128,1570.711935483871,1482.76,1669.17,1571.62,53.39405968328661,31
Bihar,Gaya,Gaya Market,Potato,2026-08-01,1398.1822580645162,1592.168064516129,1494.281935483871,1412.11,1574.34,1497.41,37.63177570611977,31
Bihar,Gaya,Gaya Market,Rice,2023-01-01,2879.7361290322583,3285.1306451612904,3094.6125806451614,2951.76,3320.04,3104.12,90.8754758618533,31
Bihar,Gaya,Gaya Market,Rice,2023-02-01,3014.0685714285714,3442.5617857142856,3223.2753571428575,3094.88,3362.28,3222.76,80.64343432585025,28
Bihar,Gaya,Gaya Market,Rice,2023-03-01,3129.923870967742,3572.0345161290325,3340.500322580645,3186.14,3514.25,3327.96,91.7932866638904,31
Bihar,Gaya,Gaya Market,Rice,2023-04-01,3302.4423333333334,3773.2529999999997,3531.3269999999998,3326.36,3720.09,3527.785,104.91026783678616,30
Bihar,Gaya,Gaya Market,Rice,2023-05-01,3428.174193548387,3882.6277419354838,3644.550322580645,3431.0,3863.42,3661.79,103.97939428828737,31
Bihar,Gaya,Gaya Market,Rice,2023-06-01,3469.764666666667,3952.8593333333333,3710.8806666666665,3555.38,3865.02,3707.73,83.42421689807745,30
Bihar,Gaya,Gaya Market,Rice,2023-07-01,3421.001612903226,3869.9861290322583,3669.302258064516,3420.48,3874.78,3679.16,113.03958668565858,31
Bihar,Gaya,Gaya Market,Rice,2023-08-01,3383.3238709677416,3795.1348387096773,3582.828387096774,3442.03,3733.97,3590.48,75.17191253372825,31
Bihar,Gaya,Gaya Market,Rice,2023-09-01,3177.899,3598.8486666666668,3402.059,3168.42,3687.97,3399.48,116.85801049225027,30
Bihar,Gaya,Gaya Market,Rice,2023-10-01,3027.9309677419355,3453.4470967741936,3239.9548387096775,3037.47,3490.61,3271.28,131.389846737891,31
Bihar,Gaya,Gaya Market,Rice,2023-11-01,2918.9990000000003,3321.2850000000003,3116.8296666666665,2918.68,3312.63,3136.225,111.86496957102554,30
Bihar,Gaya,Gaya Market,Rice,2023-12-01,2877.668387096774,3275.9009677419353,3069.585806451613,2801.32,3197.81,3080.64,84.45226568005512,31
Bihar,Gaya,Gaya Market,Rice,2024-01-01,2922.892903225806,3327.77935483871,3138.628387096774,2999.17,3330.11,3134.98,79.5634577385361,31
Bihar,Gaya,Gaya Market,Rice,2024-02-01,3015.885172413793,3449.5493103448275,3224.085517241379,3067.5,3398.98,3228.35,86.59337530691559,29
Bihar,Gaya,Gaya Market,Rice,2024-03-01,3153.734838709677,3589.470322580645,3369.964193548387,3244.84,3545.56,3379.88,71.96516897194988,31
Bihar,Gaya,Gaya Market,Rice,2024-04-01,3303.2470000000003,3792.074,3547.598,3334.58,3743.04,3530.295,109.45709461418765,30
Bihar,Gaya,Gaya Market,Rice,2024-05-01,3453.574516129032,3877.7667741935484,3655.719677419355,3457.38,3942.88,3672.89,103.70552998703826,31
Bihar,Gaya,Gaya Market,Rice,2024-06-01,3461.0826666666667,3930.5566666666664,3696.6323333333335,3553.01,3920.84,3683.51,70.53787819239432,30
Bihar,Gaya,Gaya Market,Rice,2024-07-01,3491.673548387097,3968.343870967742,3723.306129032258,3580.34,3851.99,3728.25,69.88023138090955,31
Bihar,Gaya,Gaya Market,Rice,2024-08-01,3339.6964516129033,3815.213870967742,3577.6829032258065,3376.23,3752.42,3579.56,98.27602427834073,31
Bihar,Gaya,Gaya Market,Rice,2024-09-01,3213.213666666667,3641.4570000000003,3425.9486666666667,3292.8,3633.3,3403.65,91.69216609012362,30
Bihar,Gaya,Gaya Market,Rice,2024-10-01,3073.95064516129,3479.818064516129,3261.3109677419357,3071.15,3433.98,3267.19,92.42102305409539,31
Bihar,Gaya,Gaya Market,Rice,2024-11-01,2946.3083333333334,3367.656,3152.7903333333334,2955.38,3281.09,3171.5950000000003,85.51422359944614,30
Bihar,Gaya,Gaya Market,Rice,2024-12-01,2867.522903225806,3299.618064516129,3097.683548387097,2943.24,3315.48,3096.46,86.57409826456512,31
Bihar,Gaya,Gaya Market,Rice,2025-01-01,2918.1774193548385,3336.389677419355,3126.614193548387,2982.97,3301.75,3102.57,87.98062816227197,31
Bihar,Gaya,Gaya Market,Rice,2025-02-01,3090.8382142857145,3474.1964285714284,3270.9757142857147,3163.28,3451.57,3261.86,71.0349357152062,28
Bihar,Gaya,Gaya Market,Rice,2025-03-01,3178.079677419355,3624.091290322581,3400.6206451612907,3224.95,3616.83,3390.51,91.38300753551809,31
Bihar,Gaya,Gaya Market,Rice,2025-04-01,3301.2696666666666,3771.687,3550.6456666666663,3347.41,3778.55,3565.61,111.27379347832748,30
Bihar,Gaya,Gaya Market,Rice,2025-05-01,3414.7106451612904,3921.1661290322577,3669.8106451612903,3462.06,3847.97,3683.99,79.51237769200839,31
Bihar,Gaya,Gaya Market,Rice,2025-06-01,3504.04,3990.9906666666666,3748.2783333333336,3537.04,3944.81,3750.81,99.39203697665033,30
Bihar,Gaya,Gaya Market,Rice,2025-07-01,3509.2258064516127,3967.29935483871,3738.4490322580646,3557.12,3884.16,3732.43,81.49241348554429,31
Bihar,Gaya,Gaya Market,Rice,2025-08-01,3383.6470967741934,3863.4790322580648,3617.124838709677,3410.27,3771.92,3623.47,86.53441064574521,31
Bihar,Gaya,Gaya Market,Rice,2025-09-01,3226.5653333333335,3696.0389999999998,3484.088,3308.14,3610.14,3482.8050000000003,74.88232061501331,30
Bihar,Gaya,Gaya Market,Rice,2025-10-01,3114.433548387097,3564.2851612903223,3340.3235483870967,3157.23,3546.35,3327.22,93.31842506702117,31
Bihar,Gaya,Gaya Market,Rice,2025-11-01,3004.2816666666668,3424.6043333333337,3207.4443333333334,3094.18,3338.23,3204.3050000000003,72.32534823847102,30
Bihar,Gaya,Gaya Market,Rice,2025-12-01,2933.4754838709678,3343.949677419355,3147.8048387096774,2954.21,3408.54,3146.23,95.6759274799039,31
Bihar,Gaya,Gaya Market,Rice,2026-01-01,2966.0880645161287,3357.0851612903225,3162.1825806451616,2991.75,3310.97,3167.99,75.89954281670573,31
Bihar,Gaya,Gaya Market,Rice,2026-02-01,3045.6864285714287,3487.4117857142855,3264.5185714285717,3125.1,3449.98,3248.885,79.01662514772099,28
Bihar,Gaya,Gaya Market,Rice,2026-03-01,3212.990322580645,3643.751935483871,3428.7854838709677,3233.87,3550.29,3433.42,88.48430123808072,31
Bihar,Gaya,Gaya Market,Rice,2026-04-01,3356.7336666666665,3836.425,3595.6136666666666,3404.67,3800.68,3601.23,92.65183275941253,30
Bihar,Gaya,Gaya Market,Rice,2026-05-01,3453.7229032258065,3948.387741935484,3712.702903225806,3565.38,3911.88,3715.69,83.72419443998068,31
Bihar,Gaya,Gaya Market,Rice,2026-06-01,3513.61,4048.896,3794.3713333333335,3636.38,3940.18,3807.59,75.82677785281545,30
Bihar,Gaya,Gaya Market,Rice,2026-07-01,3514.8996774193547,4004.433548387097,3764.4670967741936,3597.29,3992.15,3752.7,98.0663500627186,31
Bihar,Gaya,Gaya Market,Rice,2026-08-01,3435.71935483871,3878.699677419355,3651.7425806451615,3513.63,3854.73,3636.7,86.62123084508946,31
Bihar,Gaya,Gaya Market,Tomato,2023-01-01,1747.6751612903226,1994.0254838709677,1880.6296774193547,1746.08,1989.21,1886.67,57.71869001076809,31
Bihar,Gaya,Gaya Market,Tomato,2023-02-01,1855.715,2119.6767857142854,1984.2410714285713,1935.95,2099.59,1970.4250000000002,40.03812935831581,28
Bihar,Gaya,Gaya Market,Tomato,2023-03-01,1906.46,2165.3187096774195,2037.4490322580646,1919.96,2119.0,2037.84,48.01983738378951,31
Bihar,Gaya,Gaya Market,Tomato,2023-04-01,1904.144,2183.337666666667,2041.4033333333332,1946.31,2184.77,2031.705,52.01681998084402,30
Bihar,Gaya,Gaya Market,Tomato,2023-05-01,1848.2296774193549,2111.993225806452,1985.4903225806452,1872.24,2076.08,1992.02,53.08770664249063,31
Bihar,Gaya,Gaya Market,Tomato,2023-06-01,1733.6786666666667,1986.255,1857.6953333333333,1746.15,1977.56,1854.955,59.92151969283531,30
Bihar,Gaya,Gaya Market,Tomato,2023-07-01,1637.0267741935484,1854.124193548387,1745.5509677419354,1662.79,1860.37,1740.56,43.88476830327653,31
Bihar,Gaya,Gaya Market,Tomato,2023-08-01,1535.4419354838708,1731.5193548387097,1635.4487096774194,1571.35,1718.55,1633.91,39.989518188473255,31
Bihar,Gaya,Gaya Market,Tomato,2023-09-01,1487.2643333333333,1697.7733333333333,1587.245,1499.68,1668.47,1591.2350000000001,40.94340818908371,30
Bihar,Gaya,Gaya Market,Tomato,2023-10-01,1492.165806451613,1692.8064516129032,1592.233870967742,1463.21,1691.2,1586.85,51.52690874209446,31
Bihar,Gaya,Gaya Market,Tomato,2023-11-01,1558.732,1769.5013333333334,1664.7153333333333,1595.98,1741.31,1665.03,44.42941521213116,30
Bihar,Gaya,Gaya Market,Tomato,2023-12-01,1669.8987096774194,1911.7387096774194,1788.210322580645,1651.48,1902.05,1790.99,57.0265914864209,31
Bihar,Gaya,Gaya Market,Tomato,2024-01-01,1787.8477419354838,2029.8029032258064,1915.9161290322581,1827.51,2118.01,1907.85,58.75582312573612,31
Bihar,Gaya,Gaya Market,Tomato,2024-02-01,1882.1910344827586,2140.4068965517245,2010.0189655172414,1927.06,2070.48,2013.24,41.73454259148169,29
Bihar,Gaya,Gaya Market,Tomato,2024-03-01,1940.0206451612903,2201.9700000000003,2068.6445161290326,1968.88,2171.69,2065.95,42.70954895872896,31
Bihar,Gaya,Gaya Market,Tomato,2024-04-01,1947.8276666666668,2232.6276666666668,2085.1943333333334,1937.62,2149.66,2088.16,47.8976436453988,30
Bihar,Gaya,Gaya Market,Tomato,2024-05-01,1895.8967741935485,2138.347741935484,2010.100322580645,1834.82,2134.64,2008.62,58.952876915033926,31
Bihar,Gaya,Gaya Market,Tomato,2024-06-01,1756.1306666666667,2016.0279999999998,1883.4579999999999,1784.35,2009.94,1884.685,55.08984970654441,30
Bihar,Gaya,Gaya Market,Tomato,2024-07-01,1653.351612903226,1880.8206451612905,1768.4787096774191,1650.25,1843.03,1778.55,51.9812929005512,31
Bihar,Gaya,Gaya Market,Tomato,2024-08-01,1559.7535483870968,1781.9267741935485,1668.352258064516,1601.91,1772.95,1653.58,45.913324769589934,31
Bihar,Gaya,Gaya Market,Tomato,2024-09-01,1502.5146666666667,1711.6726666666666,1611.7276666666667,1464.63,1716.09,1613.85,51.01242118403582,30
Bihar,Gaya,Gaya Market,Tomato,2024-10-01,1524.3716129032257,1740.7145161290323,1627.935806451613,1525.17,1746.65,1625.18,53.010578992888625,31
Bihar,Gaya,Gaya Market,Tomato,2024-11-01,1584.3546666666666,1821.85,1704.4693333333335,1607.92,1813.92,1706.8400000000001,45.520398075143724,30
Bihar,Gaya,Gaya Market,Tomato,2024-12-01,1709.5393548387096,1924.164516129032,1814.6109677419356,1723.52,1924.12,1816.94,54.73946074237109,31
Bihar,Gaya,Gaya Market,Tomato,2025-01-01,1800.3912903225805,2066.068709677419,1938.9809677419353,1855.58,2038.3,1946.85,51.83751115134281,31
Bihar,Gaya,Gaya Market,Tomato,2025-02-01,1918.314285714286,2181.039642857143,2041.9035714285715,1925.45,2114.77,2047.15,44.10595779141879,28
Bihar,Gaya,Gaya Market,Tomato,2025-03-01,1957.3148387096776,2242.841935483871,2112.503870967742,2018.36,2202.99,2113.65,45.19788303873083,31
Bihar,Gaya,Gaya Market,Tomato,2025-04-01,1956.5006666666668,2229.7613333333334,2102.7163333333333,2020.58,2177.01,2103.8,40.08435454382923,30
Bihar,Gaya,Gaya Market,Tomato,2025-05-01,1882.9348387096775,2154.146451612903,2018.1587096774192,1950.86,2123.11,2014.95,45.80720756547218,31
Bihar,Gaya,Gaya Market,Tomato,2025-06-01,1811.9413333333332,2057.5826666666667,1929.9663333333333,1827.77,2034.71,1935.715,57.54054513443381,30
Bihar,Gaya,Gaya Market,Tomato,2025-07-01,1687.3096774193548,1907.6206451612902,1786.320322580645,1688.45,1870.9,1790.11,48.624591411059434,31
Bihar,Gaya,Gaya Market,Tomato,2025-08-01,1583.116129032258,1811.9545161290323,1694.1312903225805,1565.85,1829.82,1701.43,61.67117401952267,31
Bihar,Gaya,Gaya Market,Tomato,2025-09-01,1504.9406666666666,1735.135,1621.8766666666668,1555.67,1717.05,1624.775,43.30172166150641,30
Bihar,Gaya,Gaya Market,Tomato,2025-10-01,1526.3193548387096,1752.3912903225805,1641.9187096774192,1539.35,1733.51,1646.35,53.78119849550503,31
Bihar,Gaya,Gaya Market,Tomato,2025-11-01,1605.0459999999998,1833.3746666666666,1725.426,1627.67,1820.35,1727.7849999999999,50.516193415986734,30
Bihar,Gaya,Gaya Market,Tomato,2025-12-01,1718.860322580645,1966.0564516129032,1840.3238709677419,1746.54,1933.02,1843.2,49.14792736744995,31
Bihar,Gaya,Gaya Market,Tomato,2026-01-01,1850.1174193548386,2104.33,1976.9051612903224,1861.58,2138.02,1970.04,59.455958090616264,31
Bihar,Gaya,Gaya Market,Tomato,2026-02-01,1944.3078571428573,2210.7825000000003,2074.1532142857145,1944.29,2176.02,2088.6549999999997,60.8947597364485,28
Bihar,Gaya,Gaya Market,Tomato,2026-03-01,1986.9183870967743,2259.8161290322582,2116.85935483871,2033.33,2198.73,2113.57,42.55306388776906,31
Bihar,Gaya,Gaya Market,Tomato,2026-04-01,1989.9093333333333,2274.8883333333333,2118.3383333333336,1985.28,2198.81,2131.73,45.89404980464534,30
Bihar,Gaya,Gaya Market,Tomato,2026-05-01,1936.8135483870967,2205.594516129032,2061.442258064516,1969.84,2144.42,2062.48,50.02688955016622,31
Bihar,Gaya,Gaya Market,Tomato,2026-06-01,1828.703,2073.7433333333333,1949.0163333333333,1844.31,2036.43,1950.955,54.74206958677836,30
Bihar,Gaya,Gaya Market,Tomato,2026-07-01,1715.8690322580646,1957.0667741935483,1837.3177419354838,1738.49,1896.26,1834.85,41.48854875823586,31
Bihar,Gaya,Gaya Market,Tomato,2026-08-01,1613.8967741935485,1845.361935483871,1733.0338709677421,1627.45,1839.74,1732.63,48.12289037297583,31
